time,depth,variable,mean_value,depth_category
2025-09-16,0.5057600140571594,chl,0.2837924659252167,Surface
2025-09-16,1.5558552742004395,chl,0.2834835648536682,Surface
2025-09-16,2.6676816940307617,chl,0.2828681468963623,Surface
2025-09-16,3.8562798500061035,chl,0.2824147641658783,Surface
2025-09-16,5.140361309051514,chl,0.28227075934410095,Surface
2025-09-16,6.543033599853516,chl,0.2826119661331177,Surface
2025-09-16,8.09251880645752,chl,0.28380247950553894,Surface
2025-09-16,9.822750091552734,chl,0.2864932715892792,Surface
2025-09-16,11.773679733276367,chl,0.2894088923931122,Shallow
2025-09-16,13.99103832244873,chl,0.2840016782283783,Shallow
2025-09-16,16.52532196044922,chl,0.28424257040023804,Shallow
2025-09-16,19.42980194091797,chl,0.28404271602630615,Shallow
2025-09-16,22.75761604309082,chl,0.28346550464630127,Shallow
2025-09-16,26.558300018310547,chl,0.2823859751224518,Shallow
2025-09-16,30.874561309814453,chl,0.28003135323524475,Shallow
2025-09-16,35.740203857421875,chl,0.2747117280960083,Shallow
2025-09-16,41.180023193359375,chl,0.26636695861816406,Shallow
2025-09-16,47.21189498901367,chl,0.25750932097435,Shallow
2025-09-16,53.85063552856445,chl,0.24873200058937073,Upper Ocean
2025-09-16,61.11283874511719,chl,0.2396908402442932,Upper Ocean
2025-09-16,69.02168273925781,chl,0.22948844730854034,Upper Ocean
2025-09-16,77.61116027832031,chl,0.21664954721927643,Upper Ocean
2025-09-16,86.92942810058594,chl,0.20155900716781616,Upper Ocean
2025-09-16,97.04131317138672,chl,0.18590129911899567,Upper Ocean
2025-09-16,108.03028106689453,chl,0.17026066780090332,Upper Ocean
2025-09-16,120.0,chl,0.15165214240550995,Upper Ocean
2025-09-16,133.07582092285156,chl,0.1298765242099762,Upper Ocean
2025-09-16,147.40625,chl,0.10603630542755127,Upper Ocean
2025-09-16,163.16445922851562,chl,0.08178505301475525,Upper Ocean
2025-09-16,180.5499267578125,chl,0.060147203505039215,Upper Ocean
2025-09-16,199.7899627685547,chl,0.04429677501320839,Upper Ocean
2025-09-16,221.14117431640625,chl,0.033534035086631775,Intermediate
2025-09-16,244.890625,chl,0.026034502312541008,Intermediate
2025-09-16,271.35638427734375,chl,0.020527275279164314,Intermediate
2025-09-16,300.88751220703125,chl,0.016369102522730827,Intermediate
2025-09-16,333.8628234863281,chl,0.013457405380904675,Intermediate
2025-09-16,370.6884765625,chl,0.011338489130139351,Intermediate
2025-09-16,411.7938537597656,chl,0.009661144576966763,Intermediate
2025-09-16,457.6256103515625,chl,0.008250320330262184,Intermediate
2025-09-16,508.639892578125,chl,0.00713220564648509,Intermediate
2025-09-16,565.2922973632812,chl,0.006352349184453487,Intermediate
2025-09-16,628.0260009765625,chl,0.00574725866317749,Intermediate
2025-09-16,697.2586669921875,chl,0.005234002601355314,Intermediate
2025-09-16,773.3682861328125,chl,0.004802127368748188,Intermediate
2025-09-16,856.678955078125,chl,0.004473517183214426,Intermediate
2025-09-16,947.4478759765625,chl,0.004253300838172436,Intermediate
2025-09-16,1045.854248046875,chl,0.004077858291566372,Deep Ocean
2025-09-16,1151.9912109375,chl,0.00393027625977993,Deep Ocean
2025-09-16,1265.8614501953125,chl,0.003813492599874735,Deep Ocean
2025-09-16,1387.376953125,chl,0.0037246872670948505,Deep Ocean
2025-09-16,1516.3636474609375,chl,0.003657338907942176,Deep Ocean
2025-09-16,1652.5684814453125,chl,0.003606371581554413,Deep Ocean
2025-09-16,1795.6707763671875,chl,0.0035667482297867537,Deep Ocean
2025-09-16,1945.2955322265625,chl,0.003536365693435073,Deep Ocean
2025-09-16,2101.026611328125,chl,0.0035122716799378395,Deep Ocean
2025-09-16,2262.421630859375,chl,0.003493469674140215,Deep Ocean
2025-09-16,2429.025146484375,chl,0.003477793186903,Deep Ocean
2025-09-16,2600.38037109375,chl,0.0034637560602277517,Deep Ocean
2025-09-16,2776.039306640625,chl,0.0034509536344558,Deep Ocean
2025-09-16,2955.5703125,chl,0.003438768908381462,Deep Ocean
2025-09-16,3138.56494140625,chl,0.00342929526232183,Deep Ocean
2025-09-16,3324.640869140625,chl,0.003427696879953146,Deep Ocean
2025-09-16,3513.445556640625,chl,0.003427936928346753,Deep Ocean
2025-09-16,3704.65673828125,chl,0.003432605415582657,Deep Ocean
2025-09-16,3897.98193359375,chl,0.003444257890805602,Deep Ocean
2025-09-16,4093.15869140625,chl,0.0034399821888655424,Abyssal
2025-09-16,4289.95263671875,chl,0.0034188551362603903,Abyssal
2025-09-16,4488.15478515625,chl,0.0033774543553590775,Abyssal
2025-09-16,4687.5810546875,chl,0.00333993136882782,Abyssal
2025-09-16,4888.06982421875,chl,0.0032637473195791245,Abyssal
2025-09-16,5089.478515625,chl,0.0031116348691284657,Abyssal
2025-09-16,5291.68310546875,chl,0.0029504760168492794,Abyssal
2025-09-16,5494.5751953125,chl,0.002768416190519929,Abyssal
2025-09-16,5698.060546875,chl,0.002723939251154661,Abyssal
2025-09-16,0.5057600140571594,fe,0.0004954790929332376,Surface
2025-09-16,1.5558552742004395,fe,0.0004924883833155036,Surface
2025-09-16,2.6676816940307617,fe,0.0004899012274108827,Surface
2025-09-16,3.8562798500061035,fe,0.00048682463238947093,Surface
2025-09-16,5.140361309051514,fe,0.000483488489408046,Surface
2025-09-16,6.543033599853516,fe,0.0004797771980520338,Surface
2025-09-16,8.09251880645752,fe,0.0004756324924528599,Surface
2025-09-16,9.822750091552734,fe,0.0004713482048828155,Surface
2025-09-16,11.773679733276367,fe,0.0004668912442866713,Shallow
2025-09-16,13.99103832244873,fe,0.00040996813913807273,Shallow
2025-09-16,16.52532196044922,fe,0.0003941140603274107,Shallow
2025-09-16,19.42980194091797,fe,0.00038116081850603223,Shallow
2025-09-16,22.75761604309082,fe,0.00036847457522526383,Shallow
2025-09-16,26.558300018310547,fe,0.000357465265551582,Shallow
2025-09-16,30.874561309814453,fe,0.00034975085873156786,Shallow
2025-09-16,35.740203857421875,fe,0.0003409608907531947,Shallow
2025-09-16,41.180023193359375,fe,0.00032911254675127566,Shallow
2025-09-16,47.21189498901367,fe,0.00031798938289284706,Shallow
2025-09-16,53.85063552856445,fe,0.00030544513720087707,Upper Ocean
2025-09-16,61.11283874511719,fe,0.00029775069560855627,Upper Ocean
2025-09-16,69.02168273925781,fe,0.0002986948820762336,Upper Ocean
2025-09-16,77.61116027832031,fe,0.00030564525513909757,Upper Ocean
