time,longitude,variable,mean_value
2025-09-16,-180.0,spco2,40.80463409423828
2025-09-16,-179.75,spco2,40.80402374267578
2025-09-16,-179.5,spco2,40.798946380615234
2025-09-16,-179.25,spco2,40.784149169921875
2025-09-16,-179.0,spco2,40.796810150146484
2025-09-16,-178.75,spco2,40.82521438598633
2025-09-16,-178.5,spco2,40.84199523925781
2025-09-16,-178.25,spco2,40.85492706298828
2025-09-16,-178.0,spco2,40.86426544189453
2025-09-16,-177.75,spco2,40.8698844909668
2025-09-16,-177.5,spco2,40.85837936401367
2025-09-16,-177.25,spco2,40.85292434692383
2025-09-16,-177.0,spco2,40.858543395996094
2025-09-16,-176.75,spco2,40.86970901489258
2025-09-16,-176.5,spco2,40.90299987792969
2025-09-16,-176.25,spco2,40.90654754638672
2025-09-16,-176.0,spco2,40.926273345947266
2025-09-16,-175.75,spco2,40.936180114746094
2025-09-16,-175.5,spco2,40.95379638671875
2025-09-16,-175.25,spco2,40.958641052246094
2025-09-16,-175.0,spco2,40.978675842285156
2025-09-16,-174.75,spco2,41.01808547973633
2025-09-16,-174.5,spco2,41.036380767822266
2025-09-16,-174.25,spco2,41.06393051147461
2025-09-16,-174.0,spco2,41.07528305053711
2025-09-16,-173.75,spco2,41.066993713378906
2025-09-16,-173.5,spco2,41.071197509765625
2025-09-16,-173.25,spco2,41.07763671875
2025-09-16,-173.0,spco2,41.08650588989258
2025-09-16,-172.75,spco2,41.0933837890625
2025-09-16,-172.5,spco2,41.10894012451172
2025-09-16,-172.25,spco2,41.129085540771484
2025-09-16,-172.0,spco2,41.161216735839844
2025-09-16,-171.75,spco2,41.17155838012695
2025-09-16,-171.5,spco2,41.1755256652832
2025-09-16,-171.25,spco2,41.1774787902832
2025-09-16,-171.0,spco2,41.17927551269531
2025-09-16,-170.75,spco2,41.16461944580078
2025-09-16,-170.5,spco2,41.149070739746094
2025-09-16,-170.25,spco2,41.137935638427734
2025-09-16,-170.0,spco2,41.13996124267578
2025-09-16,-169.75,spco2,41.15651321411133
2025-09-16,-169.5,spco2,41.177284240722656
2025-09-16,-169.25,spco2,41.20429611206055
