time,variable,count,mean,median,std,minimum,maximum,q25,q75
2025-09-16,spco2,682424,40.69097137451172,40.39228439331055,4.134533405303955,6.213693618774414,440.466064453125,37.811824798583984,42.76398468017578
2025-09-16,chl,682424,0.28379249572753906,0.19910678267478943,0.32436880469322205,0.012828394770622253,19.66127586364746,0.09101364761590958,0.35878410935401917
2025-09-16,fe,682424,0.0004954790929332376,0.00013702984142582864,0.0010654731886461377,5.138864253240172e-06,0.030653243884444237,6.253398896660656e-05,0.00041407853132113814
2025-09-16,no3,682424,7.225978851318359,1.7648675441741943,10.238241195678711,0.00036129681393504143,129.04026794433594,0.0057914722710847855,11.277533531188965
2025-09-16,nppv,682424,5.406752586364746,2.9289231300354004,13.16094970703125,0.00011299143807264045,1417.7708740234375,1.1457792520523071,6.236224174499512
2025-09-16,o2,682424,270.501708984375,256.58551025390625,63.03859329223633,148.01611328125,423.7399597167969,209.70626831054688,323.99725341796875
2025-09-16,ph,682424,8.021411895751953,8.022758483886719,0.03804317116737366,5.891591548919678,8.534133911132812,8.003236770629883,8.044486045837402
2025-09-16,phyc,682424,1.5466817617416382,1.422593593597412,1.158508062362671,0.0403008759021759,56.09684371948242,1.1164112091064453,1.712200403213501
2025-09-16,po4,682424,0.6476980447769165,0.38644644618034363,0.6831972599029541,3.271294553996995e-05,4.274232864379883,0.08729282021522522,0.987030565738678
2025-09-16,si,682424,14.653127670288086,3.181972026824951,25.52718734741211,0.242291659116745,503.87054443359375,1.5480904579162598,12.298437118530273
